222017_x_at	LRCH4	233.7	251.4	244.4	250.7	280.6	238.6	238.4	243.5	211.5	236.7	308.9	365.5
222018_at	NACA	335.9	1032.2	511.8	186.7	298.3	972.1	607.5	679	290.7	325.3	180.1	1163.5
222019_at	MIR6834	1087.3	731	381.2	1106.1	1297.6	280.1	1572	575.4	936.7	1062.2	1094.8	1157.9
222020_s_at	LOC102725271	146.9	137.4	125.8	511.1	518.6	714.5	249.5	382.8	105.1	498.5	440.2	241
222021_x_at	SDHAP2	6110.2	6035	5594.1	8241.1	5292.1	6021.4	3509.8	4773.9	5203.8	5107	3679.8	3412.8
222022_at	DTX3	1263	1491.7	823.4	1448.3	824.8	1413.7	1601.3	1387.4	929.7	1067.1	1800.9	1866.8
222023_at	AKAP13	360.8	650.1	145.7	722.2	195.7	1313.6	106.2	466.1	95.7	352.4	419.2	320.9
222024_s_at	AKAP13	648.4	166.5	604.5	1188.5	768.7	404.2	465.4	293.7	438.6	209.5	593.5	827.1
222025_s_at	OPLAH	127.9	335	209.8	167	151.1	128.5	200.9	170.4	175.4	177.7	181.3	174.1
222026_at	RBM3	62.3	592.3	290.7	247.1	856.9	750	738.3	411	528.6	691.1	535.6	711.2
222027_at	NUCKS1	603.7	399.2	648.3	254.5	473.5	545.6	61.8	673.9	305.7	435.2	613.8	472
222028_at	ZNF45	213.6	547.2	780.6	537.4	686.8	612.4	382.4	348.5	997.8	705.1	380.3	514.8
222029_x_at	MIR6834	145.9	341.1	181.5	115.3	193.9	185.7	92.1	160.5	755.6	164.7	113.1	234.7
222030_at	SIVA1	1564.5	1740.7	2150.2	2921.1	807.4	2291.2	2039.5	1879.6	1546.7	2567.9	2395.7	1354
222031_at	LOC389906	80.8	42.4	57.2	16.8	156.7	36.3	112.9	24.8	49.1	32.8	38.4	25
222032_s_at	USP7	546.8	325	616.6	150	429.2	606.6	305.9	204.1	603.6	448.5	316.2	377.4
222033_s_at	FLT1	151	175	99.4	129.1	230.5	189.7	107.7	140	111.1	116.2	151.2	122.1
222034_at	SNORD96A	812.3	659.4	48	239.5	257.6	169.4	131.6	480.8	461.1	532.9	112.3	371.7
222035_s_at	PAPOLA	325.6	439.6	334.8	602.9	311.5	217.3	978.1	1432.2	705.7	687	1491.1	635.8
222036_s_at	MCM4	157.7	454.2	726.3	308.5	210.6	79.2	308.4	637.2	474	314.6	248.8	139.5
222037_at	MCM4	43.4	27.6	24	26.2	36.2	63.2	64.6	24.5	39.5	31.2	27.4	63.8
222038_s_at	UTP18	497.4	649.9	533.6	405.9	280.8	740.4	681	480	371.7	427.5	666	520.4
222039_at	KIF18B	275	1106.3	771.7	657.5	565.9	957.1	438.3	1069.6	826.6	496.2	826.8	1052.4
222040_at	HNRNPA1	98.3	98.9	71.9	481.2	757.9	612.1	874.4	356.6	707.8	241.8	261.4	154.5
222041_at	OVCA2	1877.4	1641.9	1220.4	1072.5	1582.9	1632.2	1426.6	1659	1507.3	1047.6	1430.7	2250.7
222042_x_at	MEX3D	489.7	224.6	228.4	462.8	159	346.1	164.2	130.3	446.7	127.7	235.9	506
222043_at	CLU	66.1	77.2	448.2	254.5	199.6	87.6	168.8	171.5	100.8	76.1	140.5	94.5
222044_at	PCIF1	77.3	137.4	78.4	60.2	149.4	156.2	119	32.3	107.9	84.9	57.2	70.4
222045_s_at	PCIF1	187	176.7	272	426.8	631.9	481.6	435.6	166	69.7	209.2	159.2	100.5
222046_at	SRRT	625.2	895.9	906.5	253.4	690.3	643	645.7	655.1	1092.4	790.7	641.4	667.7
222047_s_at	SRRT	1545.2	1099.2	1815.1	1411.6	1120.3	783	740.7	1123.6	1390.8	784.3	1382.9	1170.1
